"","hgnc_symbol","uniprot_gn_id"
"436","FKBP6","C9JM01"
"437","FKBP6","F8WD36"
"438","FKBP6","F8WD38"
"439","FKBP6","A0A3B3IST2"
"440","RPS17P1",""
"441","LINC02829",""
"442","IGHV3OR15-7","A0A075B7D8"
"443","LINC01015",""
"444","IGHD5OR15-5A",""
"445","HIST1H2BO","P23527"
"446","IGHD4OR15-4A",""
"447","GPR53P",""
"448","LINC02634",""
"449","OR2B2","Q9GZK3"
"450","OR2B2","A0A126GWD0"
"451","SLC25A51P1",""
"452","IGHD3OR15-3A",""
"453","ADH5P4",""
"454","PPP1R17","O96001"
"455","PPP1R17","A0A090N8N7"
"456","IGHD2OR15-2A",""
"457","ANKRD33B-AS1",""
"458","AKAP11","Q9UKA4"
"459","IGHD1OR15-1A",""
"460","ANKRD33B","A6NCL7"
"461","ANKRD33B","D6R912"
"462","FAM30B",""
"463","MOAP1","Q96BY2"
"464","OR2I1P","A0A2R8Y4D9"
"465","ELOCP2",""
"466","CCNY","Q8ND76"
"467","CCNY","R4GN48"
"468","CCNY","R4GNF3"
"469","TRIM44","Q96DX7"
"470","OR2W6P",""
"471","APOL5","Q9BWW9"
"472","APOL5","A0A0G2JME4"
"473","OR2B6","P58173"
"474","OR2B6","A0A126GW55"
"475","RPL12P6",""
"476","OSGEP","Q9NPF4"
"477","OSGEP","G3V445"
"478","TRIM39-RPP21","A0A096LP39"
"479","RPSAP68",""
"480","SHROOM4","Q9ULL8"
"481","HCG17",""
"482","SLC35E1P1",""
"483","LINC01666",""
"484","BCAR1P1",""
"485","TRIM39","A2AAZ5"
"486","TRIM39","Q9HCM9"
"487","TRIM39","A0A024RCP5"
"488","TRIM39","A2AAZ4"
"489","TRIM39","A2AAZ3"
"490","TRIM39","A2AAZ6"
"491","TRIM39","A2AAZ2"
"492","TRIM39","A0A024RCR1"
"493","GOLGA8IP",""
"494","ASMT","P46597"
"495","ASMT","X5D2A4"
"496","ASMT","I7HFW6"
"497","ASMT","X5D784"
"498","IFNGR2","P38484"
"499","IFNGR2","B5MCZ0"
"500","IFNGR2","A8K881"
"501","IFNGR2","F8WF11"
"502","IFNGR2","A0A0G2JLE8"
"503","IFNGR2","E7EUY1"
"504","IFNGR2","F8WE34"
"505","YWHABP2",""
"506","RPL21P93",""
"507","LDHAL6A","Q6ZMR3"
"508","LDHAL6A","A0A087WUM2"
"509","LINC00837",""
"510","LINC01517",""
"511","KIAA1217","Q5T5P2"
"512","KIAA1217","A0A1B0GU17"
"513","KIAA1217","Q5T5P1"
"514","KIAA1217","A0A0U1RQK8"
"515","KIAA1217","Q5T5P0"
"516","OR56A7P",""
"517","OR2H2","O95918"
"518","OR2H2","A0A126GV84"
"519","OR52L2P",""
"520","OR52X1P",""
"521","UBD","O15205"
"522","UBD","A0A0G2JH67"
"523","UBD","A0A1U9X8S6"
"524","UBE2L6","O14933"
"525","UBE2L6","E9PKW8"
"526","UBE2L6","E9PQT7"
"527","TMEM239","Q8WW34"
"528","SKOR1","P84550"
"529","SKOR1","G3V3E1"
"530","SKOR1","G3V5H7"
"531","TMEM183AP1",""
"532","OR2H5P",""
"533","RPL13AP",""
"534","C20orf141","Q9NUB4"
"535","HNRNPDLP3",""
"536","L2HGDH","Q9H9P8"
"537","L2HGDH","C9JVN9"
